Weather Station,Count
249620-99999,65
107380-99999,65
298690-99999,65
294180-99999,65
319090-99999,65
323890-99999,65
238030-99999,65
314840-99999,65
627210-99999,65
360340-99999,65
386180-99999,65
352170-99999,65
309610-99999,65
318010-99999,65
475840-99999,65
373950-99999,65
383280-99999,65
314890-99999,65
975600-99999,65
306030-99999,65
297060-99999,65
307640-99999,65
319390-99999,65
285860-99999,65
296050-99999,65
480420-99999,65
297360-99999,65
313710-99999,65
870470-99999,64
845340-99999,64
852420-99999,64
246520-99999,64
910660-22701,64
623180-99999,64
857430-99999,64
042700-99999,64
871780-99999,64
280640-99999,64
307410-99999,64
982230-99999,64
845150-99999,64
602300-99999,64
607150-99999,64
723535-99999,64
784390-99999,64
379850-99999,64
787300-99999,64
489300-99999,64
296360-99999,64
339020-99999,64
248170-99999,64
287990-99999,64
370180-99999,64
471220-99999,64
106160-99999,64
948270-99999,64
724880-23185,64
333770-99999,64
309710-99999,64
278230-99999,64
062400-99999,64
103840-99999,64
623660-99999,64
040630-99999,64
727976-24217,64
603900-99999,64
307810-99999,64
268320-99999,64
075100-99999,64
345040-99999,64
303370-99999,64
010550-99999,64
308020-99999,64
718670-99999,64
689940-99999,64
359690-99999,64
106070-99999,64
722060-13889,64
228670-99999,64
477710-99999,64
066800-99999,64
343630-99999,64
286420-99999,64
248560-99999,64
480190-99999,64
724070-93730,64
984290-99999,64
031350-99999,64
725250-14852,63
434660-99999,63
315270-99999,63
800990-99999,63
964490-99999,63
424750-99999,63
263130-99999,63
273930-99999,63
727827-24110,63
727530-14914,63
483810-99999,63
484550-99999,63
802340-99999,63
125600-99999,63
309350-99999,63
273550-99999,63
471410-43219,63
176000-99999,63
623870-99999,63
485010-99999,63
471530-99999,63
964410-99999,63
336310-99999,63
271130-99999,63
166870-99999,63
401990-99999,63
719240-99999,63
620530-99999,63
421820-99999,63
949330-99999,63
360200-99999,63
219460-99999,63
483310-99999,63
385990-99999,63
484000-99999,63
723260-13891,63
722070-03822,63
684380-99999,63
484750-99999,63
614210-99999,63
702720-99999,63
219210-99999,63
870970-99999,63
062600-99999,63
483510-99999,63
700860-27401,63
269970-99999,63
485510-99999,63
484300-99999,63
726170-14742,63
948420-99999,63
484500-99999,63
484800-99999,63
306690-99999,63
028750-99999,63
126950-99999,63
688420-99999,63
726400-14839,63
719170-99999,63
128820-99999,63
483560-99999,63
200690-99999,63
719640-99999,63
688160-99999,63
476800-99999,63
484620-99999,63
483780-99999,63
726395-14808,63
483830-99999,63
481080-99999,63
485170-99999,63
261670-99999,63
964710-99999,63
485830-99999,63
718010-99999,63
943670-99999,63
040480-99999,63
286790-99999,63
423140-99999,63
937800-99999,63
029720-99999,63
132420-99999,63
265440-99999,63
261150-99999,63
802590-99999,63
110360-99999,63
417800-99999,63
484050-99999,63
726430-14920,63
485000-99999,63
744865-14719,63
724467-13930,63
273730-99999,63
481100-99999,63
122700-99999,63
125000-99999,63
255510-99999,63
624050-99999,63
716280-99999,63
122720-99999,63
727450-14913,63
484260-99999,63
339830-99999,63
872570-99999,63
964910-99999,63
485520-99999,63
726410-14837,63
224380-99999,63
274790-99999,63
488550-99999,63
964130-99999,63
125750-99999,63
172180-99999,63
845010-99999,63
948930-99999,63
314420-99999,63
878960-99999,63
688580-99999,63
947190-99999,63
483750-99999,63
085150-99999,63
943880-99999,63
167100-99999,63
624650-99999,63
801440-99999,63
489180-99999,63
428090-99999,62
245070-99999,62
345190-99999,62
264060-99999,62
723927-93110,62
269410-99999,62
969330-99999,62
415300-99999,62
722610-22010,62
962490-99999,62
844550-99999,62
484590-99999,62
383960-99999,62
982320-99999,62
948210-99999,62
600150-99999,62
844740-99999,62
339460-99999,62
916800-99999,62
070050-99999,62
722615-22001,62
470580-99999,62
627600-99999,62
227980-99999,62
152300-99999,62
043900-99999,62
251230-99999,62
483790-99999,62
167460-99999,62
161700-99999,62
264770-99999,62
747320-99999,62
943800-99999,62
947030-99999,62
723815-23161,62
567780-99999,62
262750-99999,62
483280-99999,62
423390-99999,62
960350-99999,62
118160-99999,62
726227-94790,62
480780-99999,62
152800-99999,62
724285-13812,62
150100-99999,62
249880-99999,62
151500-99999,62
265850-99999,62
984440-99999,62
121150-99999,62
722246-03844,62
480940-99999,62
386830-99999,62
222820-99999,62
787410-99999,62
943260-99999,62
331870-99999,62
722576-03902,62
967810-99999,62
970140-99999,62
330270-99999,62
333250-99999,62
361520-99999,62
269610-99999,62
353580-99999,62
316240-99999,62
480800-99999,62
135860-99999,62
723520-13902,62
946010-99999,62
962210-99999,62
966850-99999,62
977240-99999,62
319690-99999,62
722085-93831,62
421310-99999,61
389540-99999,61
610900-99999,61
431170-99999,61
843900-99999,61
610430-99999,61
424100-99999,61
620020-99999,61
612570-99999,61
417390-99999,61
470080-99999,61
610520-99999,61
470410-99999,61
417120-99999,61
416600-99999,61
381780-99999,61
304050-99999,61
209460-99999,61
067500-99999,61
947000-99999,61
036490-99999,61
416750-99999,61
470690-99999,61
605250-99999,61
470030-99999,61
415150-99999,61
359250-99999,61
432010-99999,61
427540-99999,61
846860-99999,61
470700-99999,61
984310-99999,61
067620-99999,61
470650-99999,61
621310-99999,61
726450-14898,61
067200-99999,61
627700-99999,61
604250-99999,61
470250-99999,61
423690-99999,61
949750-99999,61
424150-99999,61
852450-99999,61
426670-99999,61
421650-99999,61
470550-99999,61
607250-99999,61
627720-99999,61
324110-99999,61
428670-99999,61
800220-99999,61
426470-99999,61
723676-23048,61
637400-99999,61
612960-99999,61
480710-99999,61
804030-99999,61
470350-99999,61
426750-99999,61
432790-99999,61
121600-99999,61
683120-99999,61
103430-99999,61
249080-99999,61
224220-99999,61
610240-99999,61
470200-99999,61
621610-99999,61
417150-99999,61
427790-99999,61
723825-23131,61
621760-99999,61
429090-99999,61
433710-99999,61
082270-99999,61
725510-14939,61
157120-99999,61
349540-99999,61
727935-24234,61
626410-99999,61
423610-99999,61
610360-99999,61
428400-99999,61
423790-99999,61
476430-99999,61
824000-99999,61
626600-99999,61
983360-99999,61
976900-99999,61
627710-99999,61
430030-99999,61
432450-99999,61
725287-04724,61
071800-99999,61
425710-99999,61
417560-99999,61
870070-99999,61
284510-99999,61
484250-99999,61
971460-99999,61
421890-99999,61
433290-99999,61
156150-99999,61
235520-99999,61
480350-99999,61
416200-99999,61
416400-99999,61
243290-99999,61
386130-99999,61
610960-99999,61
590460-99999,61
627300-99999,61
417180-99999,61
162390-99999,61
304690-99999,61
610170-99999,61
106870-99999,61
426340-99999,61
804070-99999,61
603600-99999,61
434670-99999,61
488700-99999,61
279470-99999,61
612720-99999,61
218020-99999,61
430630-99999,61
125950-99999,61
612650-99999,61
433440-99999,61
433140-99999,61
433690-99999,61
470140-99999,61
377890-99999,61
877150-99999,61
612970-99999,61
296530-99999,61
626400-99999,61
150900-99999,61
424920-99999,61
968390-99999,61
488770-99999,61
622710-99999,61
382320-99999,61
347590-99999,61
233830-99999,61
626800-99999,61
620160-99999,61
942870-99999,61
297660-99999,61
612850-99999,61
294810-99999,61
427370-99999,61
423480-99999,61
066700-99999,61
983280-99999,61
470160-99999,61
612300-99999,61
786630-99999,61
607350-99999,60
383450-99999,60
630210-99999,60
280490-99999,60
312530-99999,60
013840-99999,60
377350-99999,60
295240-99999,60
297240-99999,60
296310-99999,60
156400-99999,60
684420-99999,60
083970-99999,60
577450-99999,60
039800-99999,60
380620-99999,60
614150-99999,60
123600-99999,60
239290-99999,60
601500-99999,60
318660-99999,60
637080-99999,60
295940-99999,60
171290-99999,60
719060-99999,60
319870-99999,60
610750-99999,60
610800-99999,60
085680-99999,60
304990-99999,60
607500-99999,60
602650-99999,60
965090-99999,60
973720-99999,60
722255-93842,60
297890-99999,60
710450-99999,60
601350-99999,60
289090-99999,60
689200-99999,60
152600-99999,60
296020-99999,60
718030-99999,60
601550-99999,60
702650-99999,60
623330-99999,60
295510-99999,60
036440-99999,60
014150-99999,60
334290-99999,60
620100-99999,60
680320-99999,60
085540-99999,60
604900-99999,60
286660-99999,60
471580-99999,60
637050-99999,60
296760-99999,60
085210-99999,60
719090-99999,60
339240-99999,60
607450-99999,60
030910-99999,60
624140-99999,60
153460-99999,60
237010-99999,60
085940-99999,60
286960-99999,60
623930-99999,60
161100-99999,60
085240-99999,60
306120-99999,60
071490-99999,60
614610-99999,60
612260-99999,60
610490-99999,60
121000-99999,60
484770-99999,60
170600-99999,60
639620-99999,60
320270-99999,60
400450-99999,60
321280-99999,60
784570-99999,60
360210-99999,60
318780-99999,60
316320-99999,60
155350-99999,60
804130-99999,60
303850-99999,60
366390-99999,60
346010-99999,60
261570-99999,60
319810-99999,60
337910-99999,60
607650-99999,60
236250-99999,60
985360-99999,60
350670-99999,60
297120-99999,60
480570-99999,60
317250-99999,60
314180-99999,60
726810-24131,60
301570-99999,60
624170-99999,60
236060-99999,60
844250-99999,60
388860-99999,60
232260-99999,60
601150-99999,60
433330-99999,60
085710-99999,60
601850-99999,60
308590-99999,60
306360-99999,60
292530-99999,60
303280-99999,60
360220-99999,60
624320-99999,60
946930-99999,60
969960-99999,60
949670-99999,60
360580-99999,60
360380-99999,60
280760-99999,60
296250-99999,60
350260-99999,60
237240-99999,60
298270-99999,60
722486-13942,60
325940-99999,60
911700-22508,60
306860-99999,60
723066-13713,60
612930-99999,60
614370-99999,60
122000-99999,60
400010-99999,60
747810-99999,60
234260-99999,60
028690-99999,60
612770-99999,60
321500-99999,60
985430-99999,60
638200-99999,60
340470-99999,60
317020-99999,60
347120-99999,60
687120-99999,60
354970-99999,60
605900-99999,60
085750-99999,60
614420-99999,60
299230-99999,60
039530-99999,60
483300-99999,60
319590-99999,60
865800-99999,60
878280-99999,59
488870-99999,59
837800-99999,59
983250-99999,59
825790-99999,59
257030-99999,59
835520-99999,59
478310-99999,59
476680-99999,59
839280-99999,59
478120-99999,59
285880-99999,59
478350-99999,59
606700-99999,59
476490-99999,59
228450-99999,59
221060-99999,59
689060-99999,59
478870-99999,59
602200-99999,59
108560-99999,59
133880-99999,59
478360-99999,59
827980-99999,59
828990-99999,59
986180-99999,59
873440-99999,59
223340-99999,59
479090-99999,59
265540-99999,59
685120-99999,59
223240-99999,59
722225-03855,59
703160-25624,59
836920-99999,59
306950-99999,59
476540-99999,59
243820-99999,59
071500-99999,59
200460-99999,59
262980-99999,59
476740-99999,59
476530-99999,59
478300-99999,59
601950-99999,59
476480-99999,59
846580-99999,59
620190-99999,59
478230-99999,59
638940-99999,59
474040-99999,59
400070-99999,59
724505-03923,59
838440-99999,59
851960-99999,59
837460-99999,59
971800-99999,59
335480-99999,59
298130-99999,59
477590-99999,59
478150-99999,59
838420-99999,59
385790-99999,59
787200-99999,59
718760-99999,59
685240-99999,59
879380-99999,59
874180-99999,59
717050-99999,59
310540-99999,59
266590-99999,59
787450-99999,59
962370-99999,59
803700-99999,59
620070-99999,59
723306-13825,59
476410-99999,59
474240-99999,59
960010-99999,59
722925-93117,59
485640-99999,59
477540-99999,59
287860-99999,59
836980-99999,59
684160-99999,59
747770-03852,59
434730-99999,59
125850-99999,59
478050-99999,59
614500-99999,59
476660-99999,59
872170-99999,59
476560-99999,59
478190-99999,59
685460-99999,59
478090-99999,59
476750-99999,59
010980-99999,59
318450-99999,59
972300-99999,59
876920-99999,59
478380-99999,59
844720-99999,59
626000-99999,59
298140-99999,59
474110-99999,59
747804-99999,59
478180-99999,59
727937-99999,59
961630-99999,59
010010-99999,59
717270-99999,59
835870-99999,59
839670-99999,59
661040-99999,59
283210-99999,59
010280-99999,59
612230-99999,59
823920-99999,59
717310-99999,59
107550-99999,59
966330-99999,59
474020-99999,59
600300-99999,59
722026-12826,59
405820-99999,59
383880-99999,59
122350-99999,59
804100-99999,59
421110-99999,59
863600-99999,59
476550-99999,59
339760-99999,59
478290-99999,59
476900-99999,59
471070-99999,59
877650-99999,59
225220-99999,59
252480-99999,59
686740-99999,59
269510-99999,59
476400-99999,59
474050-99999,59
476770-99999,59
600600-99999,59
476600-99999,59
284650-99999,59
277070-99999,59
865600-99999,59
033020-99999,59
430410-99999,59
478240-99999,59
478140-99999,59
476570-99999,59
117820-99999,58
722269-03850,58
263780-99999,58
336580-99999,58
949830-99999,58
434240-99999,58
852230-99999,58
764990-99999,58
375490-99999,58
477610-99999,58
686180-99999,58
471200-99999,58
474260-99999,58
988360-99999,58
263590-99999,58
474170-99999,58
129820-99999,58
545110-99999,58
600100-99999,58
763420-99999,58
474070-99999,58
483250-99999,58
476260-99999,58
723527-13975,58
477470-99999,58
028070-99999,58
476630-99999,58
478910-99999,58
474130-99999,58
330410-99999,58
711210-99999,58
029520-99999,58
284910-99999,58
483530-99999,58
478070-99999,58
984460-99999,58
475880-99999,58
381490-99999,58
478210-99999,58
477650-99999,58
478270-99999,58
312630-99999,58
166670-99999,58
839810-99999,58
677750-99999,58
852470-99999,58
478950-99999,58
477690-99999,58
474210-99999,58
878600-99999,58
592870-99999,58
408310-99999,58
477440-99999,58
478130-99999,58
476780-99999,58
478000-99999,58
354160-99999,58
124350-99999,58
477700-99999,58
679650-99999,58
029740-99999,58
683500-99999,58
128120-99999,58
723408-13814,58
477420-99999,58
475850-99999,58
476380-99999,58
014030-99999,58
474060-99999,58
860860-99999,58
483760-99999,58
484320-99999,58
434360-99999,58
477720-99999,58
029760-99999,58
800090-99999,58
296540-99999,58
126500-99999,58
477620-99999,58
844010-99999,58
478930-99999,58
476310-99999,58
476510-99999,58
852070-99999,58
639320-99999,58
478980-99999,58
800970-99999,58
370540-99999,58
474010-99999,58
476240-99999,58
839070-99999,58
071900-99999,58
835260-99999,58
471030-99999,58
834980-99999,58
477500-99999,58
851040-99999,58
475870-99999,58
723865-23112,58
348380-99999,58
280090-99999,58
474200-99999,58
685880-99999,58
860680-99999,58
424350-99999,58
478370-99999,58
060410-99999,58
478900-99999,58
943900-99999,58
014270-99999,58
722687-93033,58
477400-99999,58
434130-99999,58
108570-99999,58
600350-99999,58
474090-99999,58
111570-99999,58
421230-99999,58
477550-99999,58
679830-99999,58
636610-99999,58
474180-99999,58
603180-99999,58
475820-99999,58
620590-99999,58
852890-99999,58
722505-12904,58
474280-99999,58
852680-99999,58
961950-99999,58
802100-99999,58
012620-99999,58
029290-99999,58
477760-99999,58
474230-99999,58
865850-99999,58
478970-99999,58
477460-99999,58
476320-99999,58
787060-99999,58
386110-99999,58
239660-99999,58
114060-99999,58
947500-99999,58
476290-99999,58
943050-99999,58
125100-99999,58
722730-03124,58
119680-99999,58
476370-99999,58
477410-99999,58
683680-99999,58
483000-99999,58
485320-99999,58
684240-99999,58
800910-99999,58
870780-99999,58
600400-99999,58
478920-99999,58
477780-99999,58
297560-99999,58
108690-99999,58
877500-99999,58
478990-99999,58
477680-99999,58
474250-99999,58
723405-03930,58
683380-99999,58
629410-99999,57
062750-99999,57
578660-99999,57
686140-99999,57
475800-99999,57
031620-99999,57
220040-99999,57
878520-99999,57
134620-99999,57
443040-99999,57
066100-99999,57
125500-99999,57
874800-99999,57
477800-99999,57
802110-99999,57
442390-99999,57
605450-99999,57
569640-99999,57
863500-99999,57
442720-99999,57
030260-99999,57
942990-99999,57
443730-99999,57
477660-99999,57
838400-99999,57
722405-13976,57
477560-99999,57
288670-99999,57
606200-99999,57
949960-99999,57
171240-99999,57
850410-99999,57
031710-99999,57
261450-99999,57
400220-99999,57
947740-99999,57
890090-90001,57
443540-99999,57
011520-99999,57
711200-99999,57
063500-99999,57
166220-99999,57
567860-99999,57
567480-99999,57
864900-99999,57
155110-99999,57
442770-99999,57
942940-99999,57
936140-99999,57
579930-99999,57
442820-99999,57
725480-94910,57
567510-99999,57
850430-99999,57
875060-99999,57
037720-99999,57
076020-99999,57
684780-99999,57
407540-99999,57
030050-99999,57
943870-99999,57
722170-03813,57
481090-99999,57
621030-99999,57
945890-99999,57
298460-99999,57
847820-99999,57
362590-99999,57
121050-99999,57
722315-53917,57
302530-99999,57
121250-99999,57
062700-99999,57
525330-99999,57
062900-99999,57
851540-99999,57
116590-99999,57
480180-99999,57
787930-99999,57
012710-99999,57
431280-99999,57
443580-99999,57
945940-99999,57
704140-99999,57
565710-99999,57
833390-99999,57
947680-99999,57
450110-99999,57
038940-99999,57
121850-99999,57
852300-99999,57
480530-99999,57
063800-99999,57
477770-99999,57
719360-99999,57
077470-99999,57
152470-99999,57
719450-99999,57
877840-99999,57
710950-99999,57
442410-99999,57
260460-99999,57
865000-99999,57
279570-99999,57
260780-99999,57
442180-99999,57
579570-99999,57
949950-99999,57
010230-99999,57
337770-99999,57
063700-99999,57
173000-99999,57
442880-99999,57
689280-99999,57
442920-99999,57
064500-99999,57
030750-99999,57
117230-99999,57
942550-99999,57
071100-99999,57
763820-99999,57
266450-99999,57
239090-99999,57
471040-99999,57
387990-99999,57
043600-99999,57
262310-99999,57
170820-99999,57
442590-99999,57
724037-93728,57
239870-99999,57
564920-99999,57
156550-99999,57
710435-99999,57
612700-99999,57
442980-99999,57
036930-99999,57
566510-99999,57
283340-99999,57
110300-99999,57
033790-99999,57
442310-99999,57
443520-99999,57
108520-99999,57
612020-99999,57
223120-99999,57
171500-99999,57
442940-99999,57
164700-99999,57
862970-99999,57
948610-99999,57
031400-99999,57
875480-99999,57
719260-99999,57
014520-99999,57
743920-14611,57
